Name,Shortname,Id,Description,Stacksize
,ammo.snowballgun,550753330,,128
12 Gauge Buckshot,ammo.shotgun,-1685290200,Ammunition for a Shotgun.,64
12 Gauge Incendiary Shell,ammo.shotgun.fire,-1036635990,Incendiary Shotgun Ammunition,64
12 Gauge Slug,ammo.shotgun.slug,-727717969,Single large projectile for a Shotgun.,32
16x Zoom Scope,weapon.mod.8x.scope,174866732,A large 16x zoom scope.,1
40mm HE Grenade,ammo.grenadelauncher.he,349762871,Ammunition for a 40mm Grenade Launcher.,12
40mm Shotgun Round,ammo.grenadelauncher.buckshot,1055319033,Ammunition for a 40mm Grenade Launcher.,24
40mm Smoke Grenade,ammo.grenadelauncher.smoke,915408809,Ammunition for a 40mm Grenade Launcher.,12
5.56 Rifle Ammo,ammo.rifle,-1211166256,Ammunition for a Rifle. Loses velocity when fired over long distances resulting in slightly decreased damage.,128
8x Zoom Scope,weapon.mod.small.scope,567235583,A small 8x zoom scope.,1
A Barrel Costume,barrelcostume,-1215166612,"A stupid barrel costume, so you can hide like a pro..p",1
Above Ground Pool,abovegroundpool,1840570710,A large wooden pool that can be filled with water.,1
Abyss Assault Rifle,rifle.ak.diver,-139037392,A waterlogged assault rifle from the abyss,1
Abyss Divers Suit,hazmatsuit.diver,-797592358,"A divers suit found in the abyss, doubles as a reliable hazmat suit",1
Abyss Metal Hatchet,diverhatchet,1046904719,"Metal hatchet, reclaimed from the abyss, perfect for survival and crafting",1
Abyss Metal Pickaxe,diverpickaxe,1561022037,"Plucked from the abyss, this Metal Pickaxe is a prized possession for any survivor",1
Abyss Torch,divertorch,1846605708,Illuminate the underwater depths with this durable and waterproof diving torch,1
Acoustic Guitar,fun.guitar,-2124352573,"A classic acoustic guitar, built for jam sessions around campfires at night.",1
Adv. Anti-Rad Tea,radiationresisttea.advanced,-1729415579,A tea that reduces the amount of health lost due to radiation.,10
Advanced Healing Tea,healingtea.advanced,-2123125470,A tea that restores health over time.,10
Advanced Max Health Tea,maxhealthtea.advanced,603811464,A tea that increases your maximum health.,10
Advanced Ore Tea,oretea.advanced,2063916636,A tea that increases the amount of ore you receive.,10
Advanced Rad. Removal Tea,radiationremovetea.advanced,2021351233,A tea that removes some radiation.,10
Advanced Scrap Tea,scraptea.advanced,524678627,A tea that increases the amount of scrap you receive from barrels.,10
Advanced Wood Tea,woodtea.advanced,-541206665,A tea that increases the amount of wood you receive from trees.,10
Advent Calendar,xmas.advent,-2027793839,Receive a special gift each and every day!,1
Anchovy,fish.anchovy,342438846,A small bony fish commonly found in large schools.,10
AND Switch,electric.andswitch,1171735914,"A logic gate that allows electrical passthrough if BOTH inputs receives power, passthrough amount is the greater of either power source",5
Animal Fat,fat.animal,-1018587433,"Harvested from animals, combine with cloth to create a low quality fuel source.",1000
Anti-Rad Tea,radiationresisttea,-487356515,A tea that reduces the amount of health lost due to radiation.,10
Anti-Radiation Pills,antiradpills,-1432674913,Taking these pills will lower your radiation level. WARNING: May cause extreme dehydration.,10
Apple,apple,1548091822,"An Apple. Eating it provides a small boost to health, hunger, and thirst.",10
Arctic Scientist Suit,hazmatsuit_scientist_arctic,1107575710,A hazmat suit made from radiation resistant rubber.,1
Arctic Suit,hazmatsuit.arcticsuit,-470439097,An arctic variant of the hazmat suit which trades radiation for cold protection.,1
Armored Cockpit Vehicle Module,vehicle.1mod.cockpit.armored,1874610722,Single module armored cockpit for a driver and one passenger.,1
Armored Door,door.hinged.toptier,1353298668,Extremely strong door with a hatch to see and shoot out of.,1
Armored Double Door,door.double.hinged.toptier,1221063409,Extremely strong door with a hatch to see and shoot out of.,1
Armored Passenger Vehicle Module,vehicle.1mod.passengers.armored,-1615281216,Single module armored seating for two passengers.,1
Assault Rifle,rifle.ak,1545779598,High damage machine rifle.,1
Assault Rifle - ICE,rifle.ak.ice,-1335497659,Ice-covered high damage machine rifle.,1
Audio Alarm,electric.audioalarm,2100007442,A speaker which will emit a loud warning alarm when powered,5
Auto Turret,autoturret,-2139580305,This automated electric sentry turret will engage and neutralize any moving targets it has line of sight to. You must equip it with a projectile weapon and the corresponding ammunition. Note : The turret will search for targets in a 180 degree arc facing *you* when you place it. Requires 10 power.,1
Bandage,bandage,-2072273936,"Heal yourself or others with this bandage. Left-click heals you, right-click heals a target.",3
Bandana Mask,mask.bandana,-702051347,A square of cloth which is tied around the face over the nose and mouth.,1
Bandit Guard Gear,attire.banditguard,-1622110948,A bandit guard suit,1
Barbed Wooden Barricade,barricade.woodwire,1382263453,"A wooden barricade with barbed wire, made of Wood and Metal Fragments. The barbed wire causes damage and will also slow player movement.",10
Barbeque,bbq,1099314009,A makeshift Barbeque. You can cook significant amounts of food with this.,1
Baseball Bat,mace.baseballbat,-2026042603,,1
Baseball Cap,hat.cap,-1022661119,A baseball cap.,1
Basic Healing Tea,healingtea,-929092070,A tea that restores health over time.,10
Basic Horse Shoes,horse.shoes.basic,-1211268013,Equipping these horse shoes will grant your horse additional movement speed,1
Basic Max Health Tea,maxhealthtea,-1184406448,A tea that increases your maximum health.,10
Basic Ore Tea,oretea,1480022580,A tea that increases the amount of ore you receive.,10
Basic Scrap Tea,scraptea,263834859,A tea that increases the amount of scrap you receive from barrels.,10
Basic Wood Tea,woodtea,-649128577,A tea that increases the amount of wood you receive from trees.,10
Battery - Small,battery.small,609049394,A Battery.,1
Beach Chair,beachchair,-321431890,"The Beach Chair is the best way to relax, whether it's by the pool or on the beach.",1
Beach Parasol,beachparasol,-1621539785,A large umbrella that will shield you from the sun.,1
Beach Table,beachtable,657352755,A small table to hold your drinks while relaxing.,1
Beach Towel,beachtowel,-8312704,A colourful beach towel. Placing this will give you a location to respawn.,1
Beancan Grenade,grenade.beancan,1840822026,Unreliable explosive device.,5
Bed,bed,-1273339005,A Bed. Placing this will give you a place to respawn and can be used much more frequently than a sleeping bag. Note: Must be placed inside a building.,1
Beenie Hat,hat.beenie,1675639563,A wooly hat.,1
Binoculars,tool.binoculars,-1262185308,Binoculars allowing you to see objects at great length.,1
Birthday Cake,cakefiveyear,1973165031,A very special and happy birthday to Rust!,1
Black Berry,black.berry,1771755747,A black berry.,20
Black Berry Clone,clone.black.berry,122783240,A clipping of a Black Berry Plant.,50
Black Berry Seed,seed.black.berry,1911552868,"These black berry seeds can be planted in the ground and grown to collect additional food. Planting these seeds in a planter, and then watering them with large quantities of water yields significantly more Corn and faster groth.",50
Black Raspberries,black.raspberries,1931713481,"Black Raspberries picked from berry bushes. Eating it provides a small boost to health, hunger, and thirst.",1
Bleach,bleach,1553078977,A powerful oxidizing agent. Can be used as a disinfectant.,20
Blocker,electric.blocker,-690968985,This object prevents passthrough while power is received through its second input.,5
Blood,blood,1776460938,Used in creation of medkits.,1000
Blue Berry,blue.berry,1112162468,A blue berry. Can be eaten or used in mixing table recipes to create teas.,20
Blue Berry Clone,clone.blue.berry,838831151,A clipping of a Blue Berry Plant.,50
Blue Berry Seed,seed.blue.berry,803954639,"These blue berry seeds can be planted in the ground and grown to collect additional food. Planting these seeds in a planter, and then watering them with large quantities of water yields significantly more Corn and faster groth.",50
Blue Boomer,firework.boomer.blue,1744298439,A very large mortar type firework with a blue starburst,20
Blue Dog Tags,bluedogtags,1036321299,Blue Dog Tags,5000
Blue ID Tag,blueidtag,1364514421,Blue ID Tag,5000
Blue Jumpsuit,jumpsuit.suit.blue,1601468620,A Blue Jumpsuit,1
Blue Keycard,keycard_blue,-484206264,A keycard with medium level clearance.,1
Blue Roman Candle,firework.romancandle.blue,-515830359,"A small repeating firework, shoots a series of Blue balls into the air",20
Blueberries,blueberries,-586342290,"Blueberries picked from berry bushes. Eating it provides a small boost to health, hunger, and thirst.",20
Blueprint,blueprintbase,-996920608,Blueprint,1000
Bolt Action Rifle,rifle.bolt,1588298435,"A High powered, highly accurate, long range rifle.",1
Bone Armor,bone.armor.suit,1746956556,A suit of armor made of bones.,1
Bone Arrow,arrow.bone,215754713,An Arrow equipped with a large bone arrowhead making it very easy to hit targets at the expense of damage,64
Bone Club,bone.club,1711033574,A blunt weapon made from a femur. All around basic gathering tool.,1
Bone Fragments,bone.fragments,1719978075,Extracted from animal carcass. Used as a raw material to make bone weapons and armour.,1000
Bone Helmet,deer.skull.mask,-1903165497,A helmet made of bone.,1
Bone Knife,knife.bone,1814288539,Melee weapon crafted from bone fragments. Good for harvesting carcases.,1
Boogie Board,boogieboard,-1478094705,Use the boogie board to catch some sick waves.,1
Boom Box,boombox,-1113501606,A large speaker to play recorded cassette tapes which can also stream audio from the internet. Open the settings to change audio options.,1
Boonie Hat,hat.boonie,-23994173,A boonie hat.,1
Boots,shoes.boots,-1549739227,Work boots.,1
Bota Bag,botabag,613961768,"A canteen used to carry Water. Left click to drink, right click to fill from water sources, or to pour out.",1
Brick Skin Window Bars,wall.window.bars.brickskin,-81700958,Metal window bars made to fit a brick skin sized window.,10
Bronze Egg,easter.bronzeegg,844440409,A Bronze Egg. Open for a surprise or collect 10 to upgrade to a silver egg.,10
Bucket Helmet,bucket.helmet,850280505,A Bucket Helmet. It provides a level of regional protection from inflicted damage.,1
Building Plan,building.planner,1525520776,A building plan. You can use this to craft buildings - right click when equipped for more options.,1
Bunny Ears,attire.bunnyears,-1004426654,Bunny Ears. Grants additional Egg Vision allowing you to detect more eggs during an Easter egg hunt.,1
Bunny Hat,hat.bunnyhat,23391694,A silly Bunny Hat with wobbly ears to celebrate Easter 2021,1
Bunny Onesie,attire.bunny.onesie,-1266045928,A Bunny Onesie. Grants additional Egg Vision allowing you to detect more eggs during an Easter egg hunt.,1
Burlap Gloves,burlap.gloves.new,21402876,"Basic burlap gloves, offering protection from the elements",1
Burlap Headwrap,burlap.headwrap,1877339384,A Headwrap made out of burlap.,1
Burlap Shirt,burlap.shirt,602741290,A Shirt made out of burlap.,1
Burlap Shoes,burlap.shoes,-761829530,Shoes made out of burlap.,1
Burlap Trousers,burlap.trousers,1992974553,Trousers made out of burlap.,1
Burnt Bear Meat,bearmeat.burned,-989755543,Bear Meat that has been overcooked.,20
Burnt Chicken,chicken.burned,1973684065,Burned chicken. Eating it will damage your health.,20
Burnt Deer Meat,deermeat.burned,-78533081,Burned Deer Meat. Eating it will damage your health.,20
Burnt Horse Meat,horsemeat.burned,1917703890,Burned horse meat. Eating it will damage your health.,20
Burnt Human Meat,humanmeat.burned,-682687162,Burned Meat from a human being. Consuming will damage your health.,20
Burnt Pork,meat.pork.burned,1391703481,This little piggy has been in the oven for too long.,20
Burnt Wolf Meat,wolfmeat.burned,1827479659,Spoiled Wolf Meat. Consuming will damage your health.,20
Burst Module,weapon.mod.burstmodule,838308300,Forces the weapon to fire in 3 round bursts.,1
Butcher Knife,knife.butcher,-194509282,A sharp butcher knife. Extremely good at harvesting flesh from both dead or alive bodies.,1
Button,electric.button,-1778897469,A simple electric button.,5
Cable Tunnel,electric.cabletunnel,1835946060,Allows you to pass a cable through a wall. Each input will forward the amount it receives to the corresponding output on the other side.,1
Cactus Flesh,cactusflesh,1783512007,"Flesh of a Cactus, contains water.",10
Camera,tool.camera,-1316706473,"A camera. Take screenshots with primary fire, zoom in and out with secondary fire, and lock focus with third fire.",1
Camp Fire,campfire,1946219319,"A small camp fire. Provides warmth and light, and you can cook with it.",1
Camper Vehicle Module,vehicle.2mod.camper,-1040518150,"Dual module camper that allows up to 4 players to respawn. Also includes a barbecue, a locker and a small box for item storage.",1
Can of Beans,can.beans,-700591459,"Beans found as loot. Eating it provides a small boost to health, hunger, and thirst.",10
Can of Tuna,can.tuna,-1941646328,"Chunked tuna found as loot. Eating it provides a small boost to health, hunger, and thirst.",10
Canbourine,fun.tambourine,-1379036069,A selection of crumpled cans assembled into a ring to produce some great background percussion.,1
Candle Hat,hat.candle,1714496074,A hat with a candle on top. You can turn the candle on in your inventory.,1
Candy Cane,candycane,1121925526,A very old candy cane from 2014,1
Candy Cane Club,candycaneclub,1789825282,Smash some faces with this large piece of candy,1
Captain's Log,captainslog,1230691307,A deteriorating piece of paper with information relating to the last moments of this vessel.,1
Car Key,car.key,946662961,"A key to a car, created at a vehicle lift. Keep this item safe; if lost you'll be unable to drive the car again!",1
Card Movember Moustache,movembermoustachecard,3380160,A fake moustache for Movember,1
